id,1,2,3,4,5,6,first
1,4/1,23/1,10/1,1/1,15/1,23/1,1/1
2,30/1,8/1,5/1,5/1(2),28/1,15/1,5/1(2)
3,1/1,30/1,30/1(2),8/1,13/1,2/1,1/1
4,2/1,15/1,6/1,3/1,21/1,29/1,15/1
5,17/1,13/1,15/1,1/1,5/1,26/1,1/1
6,12/1,4/1,27/1,1/1,7/1,24/1,1/1
7,3/1,30/1,8/1,3/1(2),27/1,13/1,13/1
8,1/1,8/1,26/1,1/1(2),17/1,15/1,1/1(2)
9,1/1,4/1,22/1,15/1,21/1,12/1,1/1
10,6/1,22/1,14/1,3/1,16/1,5/1,3/1
11,15/1,23/1,2/1,10/1,27/1,4/1,2/1
12,2/1,6/1,18/1,10/1,5/1,24/1,2/1
13,14/1,29/1,2/1,10/1,18/1,3/1,2/1
14,12/1,7/1,22/1,1/1,4/1,18/1,1/1
15,30/1,13/1,3/1,5/1,23/1,9/1,23/1
16,4/1,14/1,23/1,15/1,4/1(2),28/1,4/1
